Index;Season;Episode;Episode_name;Character_name;Character_race;Gender;Dialog
32;1;1;Dog & Chainsaw;Denji;Hybrid;Male;I guess you guys went full devil, huh? Well, you hired me to be a devil hunter. So, I better kill all the devils, right?! Oh, yeah! Once you're all dead... I won't owe a damn thing!
33;1;1;Dog & Chainsaw;Makima;Devil;Female;Someone got here before us.
34;1;1;Dog & Chainsaw;Devil Hunter 1;Human;Male;There's still one alive.
35;1;1;Dog & Chainsaw;Makima;Devil;Female;You've got a strange smell. Not like a human or a devil. I take it you did this?
36;1;1;Dog & Chainsaw;Denji;Hybrid;Male;H-Hug me...
37;1;1;Dog & Chainsaw;Makima;Devil;Female;He's human.
38;1;1;Dog & Chainsaw;Devil Hunter 2;Human;Male;Any chance he's possessed?
39;1;1;Dog & Chainsaw;Makima;Devil;Female;No. I can tell who's possessed with a look at their face. I came here to kill the Zombie Devil. I'm a devil hunter with Public Safety. You have two options: I can kill you like a devil, or I can keep you as my pet. If I keep you, I'll make sure you're fed.
40;1;1;Dog & Chainsaw;Denji;Hybrid;Male;When you say that... Like, what's for breakfast?
41;1;1;Dog & Chainsaw;Makima;Devil;Female;Bread with butter and jam, salad, coffee... And then maybe something for dessert, I think?
42;1;1;Dog & Chainsaw;Denji;Hybrid;Male;That sounds awesome.
43;1;2;Arrival in Tokyo;Denji;Hybrid;Male;That was my stomach.
44;1;2;Arrival in Tokyo;Makima;Devil;Female;What's your name?
45;1;2;Arrival in Tokyo;Denji;Hybrid;Male;It's Denji!
46;1;2;Arrival in Tokyo;Makima;Devil;Female;I need to tell you something right now. From now on, you're in my care, Denji. I expect "yes" or "woof" for answers. I don't need a dog that says "no."
47;1;2;Arrival in Tokyo;Denji;Hybrid;Male;When you say that...
48;1;2;Arrival in Tokyo;Makima;Devil;Female;Someone in forensics once told me... That when we get dogs that aren't helpful, we put them down.
49;1;2;Arrival in Tokyo;Denji;Hybrid;Male;I thought she was nice. I kind of liked her. I had no idea she was scary like this. Treating me like a damn dog... I just remembered how Pochita's dead.
50;1;2;Arrival in Tokyo;Makima;Devil;Female;We haven't had breakfast yet, either. Let's grab something at the rest area.
51;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Sorry, but I don't have any cash.
52;1;2;Arrival in Tokyo;Makima;Devil;Female;Just pick what you want. I'll pay. And you're conspicuous without a shirt on, so wear this. Here.
53;1;2;Arrival in Tokyo;Denji;Hybrid;Male;All my life people have avoided me, saying I'm filthy and smell bad. No one's ever been nice to me before. Much less a girl who looks this good! I love her! I'll take some udon...
54;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Udon and... a sausage! Is that cool?
55;1;2;Arrival in Tokyo;Makima;Devil;Female;Sure is. I'll take a curry udon, please.
56;1;2;Arrival in Tokyo;Udon Owner;Human;Male;Coming up.
57;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Oh, that sounds good, too...
58;1;2;Arrival in Tokyo;Makima;Devil;Female;Whoa, there. Denji? You okay?
59;1;2;Arrival in Tokyo;Denji;Hybrid;Male;You smell good.
60;1;2;Arrival in Tokyo;Devil Hunter 1;Human;Male;How much will it be?
61;1;2;Arrival in Tokyo;Udon Owner;Human;Male;Gimme one sec...
62;1;2;Arrival in Tokyo;Makima;Devil;Female;Denji?
63;1;2;Arrival in Tokyo;Udon Owner;Human;Male;It'll be 1,100 yen, all together.
64;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Sorry about that! The chainsaws cut me up, too,
65;1;2;Arrival in Tokyo;Devil Hunter 1;Human;Male;Here's 2,000.
66;1;2;Arrival in Tokyo;Denji;Hybrid;Male;so I think I'm a little low on blood right now.
67;1;2;Arrival in Tokyo;Makima;Devil;Female;How did you end up like this?
68;1;2;Arrival in Tokyo;Denji;Hybrid;Male;I had a pet devil, and he replaced my heart. Kinda hard to believe, huh? I don't really wanna believe it, either. Pochita dying for my sake...
69;1;2;Arrival in Tokyo;Makima;Devil;Female;There's not a lot of precedent for your condition, even from a historical perspective. It doesn't even have a name. I believe you. I've got a particularly good sense of smell. So I can tell. Your best friend is alive inside of you. Not in the sentimental sense, either. Your body has the scents of both a human and a devil.
70;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Is that right? That's awesome! Really... awesome... Udon?! The udon? Is it cool if I eat my udon?
71;1;2;Arrival in Tokyo;Makima;Devil;Female;Are you all right? Can you eat on your own?
72;1;2;Arrival in Tokyo;Denji;Hybrid;Male;I can... I can not.
73;1;2;Arrival in Tokyo;Makima;Devil;Female;Here. Say, "Ahh."
74;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Ahh...
75;1;2;Arrival in Tokyo;Makima;Devil;Female;Is it good?
76;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Woof!
77;1;2;Arrival in Tokyo;Makima;Devil;Female;You are really sweet to be enjoying soggy udon this much. A lot like a dog, actually.
78;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Um... what's your name?
79;1;2;Arrival in Tokyo;Makima;Devil;Female;Makima.
80;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Miss Makima... is there a type of guy you l-like?
81;1;2;Arrival in Tokyo;Makima;Devil;Female;I'm into the "Denji" type.
82;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Denji? Dude, that's me. Is there a type of guy you like?
83;1;2;Arrival in Tokyo;Makima;Devil;Female;I'm into the "Denji" type.
84;1;2;Arrival in Tokyo;Denji;Hybrid;Male;I like you, too, Miss Makima.
85;1;2;Arrival in Tokyo;Makima;Devil;Female;Denji? This way, come on. This is the Tokyo headquarters for our Devil Hunters. There are over a thousand Devil Hunters in Tokyo, including civilians, but Public Safety has the best benefits and a lot of paid vacation time.
86;1;2;Arrival in Tokyo;Denji;Hybrid;Male;If Miss Makima likes me... Then maybe, if we work together, we'll eventually get together? And if we get together... we can get together, right? I wanna! I wanna get together with her real bad!
87;1;2;Arrival in Tokyo;Makima;Devil;Female;Denji...
88;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Yeah?
89;1;2;Arrival in Tokyo;Makima;Devil;Female;We're supposed to wear uniforms, so put this on. Once you've changed, I'll introduce you to a coworker. This is Aki Hayakawa. He started three years before you, Denji. You're going to be shadowing him today.
90;1;2;Arrival in Tokyo;Denji;Hybrid;Male;I'm not working with you, Miss Makima?
91;1;2;Arrival in Tokyo;Aki;Human;Male;That should be obvious. You're not even in her league. Time for patrol.
92;1;2;Arrival in Tokyo;Denji;Hybrid;Male;No! Miss Makima!
93;1;2;Arrival in Tokyo;Aki;Human;Male;Damn it, get up.
94;1;2;Arrival in Tokyo;Denji;Hybrid;Male;No way! I wanna work with Miss Makima!
95;1;2;Arrival in Tokyo;Makima;Devil;Female;If you do a good job, we can work together someday. So, do that, okay?
96;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Hey, big man. Does Miss Makima have a boyfriend? Hey, come on. Hey!
97;1;2;Arrival in Tokyo;Aki;Human;Male;Come with me. You need to quit this job. Show up tomorrow, and I'll kick your ass again.
98;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Why, though?
99;1;2;Arrival in Tokyo;Aki;Human;Male;Look, I'm trying to be nice, here. People who start this job without thinking it through end up dead. I've had colleagues who got into devil hunting for the payday, and it got them all killed by devils. The survivors are the ones with real motivation. You're just after Makima, right? That's why you took the job?
100;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Ding-ding!
101;1;2;Arrival in Tokyo;Aki;Human;Male;Then I'm glad I hit you. I'll let her know that you ran off, scared away by the devils.
102;1;2;Arrival in Tokyo;Denji;Hybrid;Male;You really are a nice guy, huh? Because... when I fight a dude... It's nuts... or nothing! I had udon for the first time today, man. A sausage, too. Got treated like a decent human being for the first time, and even had someone pay for my meal. It's like a dream come true for me. I didn't really think it through when I started devil hunting, but if I get to keep up this kind of life? I don't care if it kills me. Actually, y'know, I take it back. It's not just my life, anymore.
103;1;2;Arrival in Tokyo;Aki;Human;Male;Makima... is not the kind of woman a punk like you should be chasing!
104;1;2;Arrival in Tokyo;Denji;Hybrid;Male;What the hell are you saying? Sounds to me like you just like her, too!
105;1;2;Arrival in Tokyo;Aki;Human;Male;You... really did... Only aim... for my balls...
106;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Shit. The big guy's testicles were attacked by the Nut Devil, ma'am!
107;1;2;Arrival in Tokyo;Aki;Human;Male;That's a lie. He's lying.
108;1;2;Arrival in Tokyo;Makima;Devil;Female;So, do you think you two can work together?
109;1;2;Arrival in Tokyo;Denji;Hybrid;Male;No way!
110;1;2;Arrival in Tokyo;Aki;Human;Male;He's a piece of trash!
111;1;2;Arrival in Tokyo;Makima;Devil;Female;I'm glad two are hitting it off. Denji, you're going to be joining Hayakawa's unit.
112;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Unit?
113;1;2;Arrival in Tokyo;Aki;Human;Male;This punk?! I've already got enough troublemakers, don't I? Adding another... I don't know...
114;1;2;Arrival in Tokyo;Makima;Devil;Female;I told you when I put it together, right? Your team's an experimental one, operating differently from the usual method.
115;1;2;Arrival in Tokyo;Aki;Human;Male;What exactly is he, ma'am?
116;1;2;Arrival in Tokyo;Makima;Devil;Female;Denji's human, but can transform into a devil.
117;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Damn right! Pretty sweet, huh?
118;1;2;Arrival in Tokyo;Aki;Human;Male;And that's the truth? I always figured those stories were baseless rumors.
119;1;2;Arrival in Tokyo;Makima;Devil;Female;He's special. Which is why he's going to be receiving special treatment. If he tries to resign, or becomes insubordinate... Denji will be disposed of as a devil.
120;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Uh, what's that mean?
121;1;2;Arrival in Tokyo;Makima;Devil;Female;It means we're working together until you die.
122;1;2;Arrival in Tokyo;Aki;Human;Male;You're going to be living with me so I can keep an eye on you. Just remember, they said I can kill you if you try to run off.
123;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Hey, is Miss Makima a bad person?
124;1;2;Arrival in Tokyo;Aki;Human;Male;If you think that's the case, then give up on her. If you're really a devil, you should just be grateful she doesn't kill you. We're Devil Hunters, got that?
125;1;2;Arrival in Tokyo;Denji;Hybrid;Male;So, she's a good person, then?
126;1;2;Arrival in Tokyo;Aki;Human;Male;Of course she is. She saved my life.
127;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Miss Makima... I hope I get to hug her again. Strawberry jam, plum jam, orange jam... Then some butter and honey, plus... Let's throw some cinnamon on, too. I got the best toast ever right here! So good! It's freaking fantastic!
128;1;2;Arrival in Tokyo;Aki;Human;Male;How long are you gonna be in there?! Don't fall asleep on the toilet!
129;1;2;Arrival in Tokyo;Devil Hunter 3;Human;Male;A Fiend has been reported in an east Nerima residence. Civilian evacuation and cordon are both complete.
130;1;2;Arrival in Tokyo;Police 1;Human;Male;The Fiend in question has holed up in a second story room. We'll leave it to you Devil Hunters from here.
131;1;2;Arrival in Tokyo;Police 2;Human;Male;Is this a new rookie, Hayakawa?
132;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Hey, what's a Fiend?
133;1;2;Arrival in Tokyo;Aki;Human;Male;Did you never go to school or something?
134;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Nah, man, no.
135;1;2;Arrival in Tokyo;Aki;Human;Male;When a devil takes control of a human corpse, you get a Fiend.
136;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Wait, doesn't that make me a Fiend?
137;1;2;Arrival in Tokyo;Aki;Human;Male;No. Fiends always have characteristic heads. Should be obvious enough once we see him. The devil controls a Fiend's personality. You kill this one. Turn into a devil, and show me what you can do. That'll help me figure out if you're of any use.
138;1;2;Arrival in Tokyo;Pincer Fiend;Fiend;Male;Don't look at me... You're dead! Dead, dead, dead! Damn Devil Hunters!
139;1;2;Arrival in Tokyo;Aki;Human;Male;Hey. Why didn't you use your devil powers?
140;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Thing is... When I kill devils with my powers, they get real messed up. So, like... I coulda ended up like this Fiend, right? So I kinda... wanted to make it painless for him.
141;1;2;Arrival in Tokyo;Aki;Human;Male;All right. Listen to me. Fiends are just like any other devil. If you're hunting them, then drop the sympathy. My entire family was killed by a devil right in front of me. I've had drinks with the cops down below. They're risking their lives to protect their wives and kids. Everyone is serious about this except you. I'd rather make any devil I kill suffer as much as possible. What are you trying to do? Make friends with them?
142;1;2;Arrival in Tokyo;Denji;Hybrid;Male;If there's a devil I could be friends with, then yeah, I would. 'Cuz I don't have any friends.
143;1;2;Arrival in Tokyo;Aki;Human;Male;I'll remember that.
144;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Guess I pissed him off... I was just trying to keep blood off these dirty magazines. When the chainsaws are out, blood gets everywhere and makes a real mess. I made it easy for you, so I get to keep these! Okay, the porn is secured.
145;1;2;Arrival in Tokyo;Pochita;Devil;Devil;I want you to show me your dream.
146;1;2;Arrival in Tokyo;Denji;Hybrid;Male;I'm pretty serious about this, Pochita. I'm already living the dream, just like our bargain said.
147;1;2;Arrival in Tokyo;Aki;Human;Male;I'll remember that.
148;1;2;Arrival in Tokyo;Denji;Hybrid;Male;My dream might've come true already, but he must be chasing his. I get to bathe every day, eat good food... Get to hang around a hot chick... My life's a 10 outta 10, but it feels like something's missing. Am I missing something? Something that'd give me a real perfect score? He's gotta be after some revenge shit. They're trying to protect their families. I wonder if Miss Makima is after anything like that? Miss Makima... I wanna touch her boobs. Touching boobs is a dream I gave up on a long time ago, but I've got a real job now. Maybe I could pull it off? I probably couldn't score with a girl just yet. But boobs? If I had the right plan, and the willpower, then maybe...
149;1;2;Arrival in Tokyo;Aki;Human;Male;Everyone is serious about this except you.
150;1;2;Arrival in Tokyo;Denji;Hybrid;Male;So that's what he meant! I've found it! Something to be serious about! My goal! It's... Boobs!
151;1;2;Arrival in Tokyo;Makima;Devil;Female;Boobs?
152;1;2;Arrival in Tokyo;Aki;Human;Male;Hey! Pay attention, dumbass!
153;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Listen to what?
154;1;2;Arrival in Tokyo;Makima;Devil;Female;I'm assigning you a partner starting today, Denji.
155;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Partner?
156;1;2;Arrival in Tokyo;Makima;Devil;Female;As a precaution, Public Safety executes patrols and smaller missions with two-person teams. This is great timing. She's here. Be careful. She's a Fiend.
157;1;2;Arrival in Tokyo;Power;Fiend;Female;Prostrate yourselves, humans! For I am Power! Are you to be my so-called partner?!
158;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Power?! Your name's Power?! And you're a Fiend?! Are Fiends allowed to be Devil Hunters?! Well, whatever! Nice to meet you!
159;1;2;Arrival in Tokyo;Makima;Devil;Female;Fiends, like devils, are targets for extermination. But Power's highly rational, so she's been on Hayakawa's team. I mentioned this before, but Public Safety Devil Extermination Special Division 4 is an experimental unit. The higher-ups will be looking to dissolve your team as soon as possible if you can't get results. I don't need to explain what would happen to you two if that happens, do I? Power's horns stand out a bit too much, so you'll want to patrol areas without a lot of pedestrians.
160;1;2;Arrival in Tokyo;Power;Fiend;Female;Human! Provide me with something to kill immediately! I am starved for blood!
161;1;2;Arrival in Tokyo;Denji;Hybrid;Male;I can put up with crazy, as long as she's hot enough. The question is, how do I get my hands on those boobs?
162;1;2;Arrival in Tokyo;Makima;Devil;Female;If you run into any civilian Devil Hunters, or the police try to question you about what you're doing...
163;1;2;Arrival in Tokyo;Police 3;Human;Male;We've got a pair of suspicious individuals...
164;1;2;Arrival in Tokyo;Police 4;Human;Male;Excuse me, I need to ask you—
165;1;2;Arrival in Tokyo;Denji;Hybrid;Male;We're with Public Safety Devil Extermination Special Division 4.
166;1;2;Arrival in Tokyo;Makima;Devil;Female;...say that, show them your ID, and they'll make a sour face and leave you alone.
167;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Where the hell are all the devils?!
168;1;2;Arrival in Tokyo;Power;Fiend;Female;This is likely my fault! Before becoming a Fiend, I was a devil that was feared by all! Demonic peons will likely flee the moment they catch my scent!
169;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Wait, how are we gonna get anything done, then?!
170;1;2;Arrival in Tokyo;Makima;Devil;Female;If you have any questions, just ask Hayakawa. He's the one who put you two together.
171;1;2;Arrival in Tokyo;Denji;Hybrid;Male;That asshole! He set me up! He stuck me with Power so I can't do anything cool! He's trying to get me fired!
172;1;2;Arrival in Tokyo;Power;Fiend;Female;The scent of blood!
173;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Whoa! Hey, crazy, where you going?!
174;1;2;Arrival in Tokyo;Power;Fiend;Female;The game is afoot! The battle is joined!
175;1;2;Arrival in Tokyo;Denji;Hybrid;Male;Damn, she's fast!
176;1;2;Arrival in Tokyo;Civilian Hunter 1;Human;Male;The scene's evacuated and blocked off. It's the Sea Cucumber Devil. Yes, the Sea Cucumber Devil. Requesting backup in front of Nerima Station. I said, it's the Sea Cucumber— Do you know what a sea cucumber is? Look, I'm trying to say— What the...?
177;1;2;Arrival in Tokyo;Power;Fiend;Female;Did you see?! The kill is mine!
178;1;3;Meowy's Whereabouts;Makima;Devil;Female;If Public Safety kills a civilian hunter's devil, we're guilty of obstructing their business. Normally, you'd be arrested for that kind of thing. Power, you're going to need to think a bit more before acting. And you'll have to get her under control, Denji.
179;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;I'm in trouble, too?
180;1;3;Meowy's Whereabouts;Makima;Devil;Female;Before becoming a Fiend, Power was the Blood Devil... So she's got a talent for using blood in battle, but also gets worked up pretty easily. Maybe she's not cut out to be a Devil Hunter after all.
181;1;3;Meowy's Whereabouts;Power;Fiend;Female;It... I-It was he who commanded me to kill!
182;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;I did not! How can you just lie like that?!
183;1;3;Meowy's Whereabouts;Power;Fiend;Female;It is no lie! It was him! The human ordered me to kill this devil! That's the truth!
184;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;What a creep! Miss Makima, this devil's a total liar! You oughta arrest her right now! You're under arrest for the crime of being a fake-ass liar!
185;1;3;Meowy's Whereabouts;Power;Fiend;Female;Not true! It was by his command! Devils do not lie! It is only humans who do!
186;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;No one ever said that! And you're the reason why! Dumbass! Shitty liar!
187;1;3;Meowy's Whereabouts;Power;Fiend;Female;Humans and your filthy lies! I only did as I was told!
188;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;Why the hell do you talk like that anyway?! It's so creepy!
189;1;3;Meowy's Whereabouts;Makima;Devil;Female;Could you quiet down?
190;1;3;Meowy's Whereabouts;Power;Fiend;Female;Y-Yes.
191;1;3;Meowy's Whereabouts;Makima;Devil;Female;Very good, Power. Honestly, I don't really care who got in whose way. I want to see the two of you working well together. Can you show me that?
192;1;3;Meowy's Whereabouts;Power;Fiend;Female;We... W-We can.
193;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;Maybe I should worry about copping a feel some other time. Y'know, being able to just grab a drink like this is a dream come true to me. But if we keep screwing up, being thirsty is probably gonna be the least of my problems. Not that it'll make it any easier to work with some chick that lies, though.
194;1;3;Meowy's Whereabouts;Power;Fiend;Female;I only enjoy the company of cats. I hate humans. It's not a matter of personal grievance. My hatred is almost like a demonic instinct. And I hate devils, too. Since one of them took my pet Meowy away. Before I was able to recover Meowy, I fell into Makima's clutches. My dear Meowy may be dead already, and yet... I find it hard to give up hope. If it lets me retrieve Meowy from that demon, I'm willing to abide humans, or anything else I needs must. I doubt you'd understand such concern for a cat.
195;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;For a cat? That's dumb as hell. But I'd do whatever it takes to get to fondle some boobs.
196;1;3;Meowy's Whereabouts;Power;Fiend;Female;It seems I may never understand humans.
197;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;But I think I'd get you if it was a dog.
198;1;3;Meowy's Whereabouts;Power;Fiend;Female;What would you say to the prospect of fondling my chest after retrieving Meowy from that devil?
199;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;That fucking devil... thinks he can just kidnap some poor cat?! Well, I don't think so! As a Devil Hunter, I say no! I'm gonna kill the shit out of that devil!
200;1;3;Meowy's Whereabouts;Public Safety Receptionist;Human;Male;Leave for the Fiend, Power, is approved. Make sure to have her back by 5:00 PM.
201;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;You're not even allowed to go out on your own?
202;1;3;Meowy's Whereabouts;Power;Fiend;Female;Indeed. I've had to idly while away my time in here. I know where the devil that kidnapped Meowy dwells. The concern is that you are the only one who can fight it. He's likely to use Meowy as a shield upon seeing me. If that happens, then all is lost.
203;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;I had a pet devil named Pochita, y'know? I can't pet him anymore, but it's cool. Because he's alive in here.
204;1;3;Meowy's Whereabouts;Power;Fiend;Female;How foolish you humans are. Does that not mean Pochita is dead? Death is the absence of life. This nonsense about living on in your heart is little more than miserable self-comfort.
205;1;3;Meowy's Whereabouts;Denji;Hybrid;Male;Uh-huh. I guess so. I don't think I'm ever gonna get along with her.
206;1;3;Meowy's Whereabouts;Public Safety Executive 1;Human;Male;The American matter has got the Soviet war hawks crowing more loudly than ever. There are rumors about the military use of devils, as well. Hopefully, devils will remain Japan's only enemies in the future.
207;1;3;Meowy's Whereabouts;Public Safety Executive 2;Human;Male;Makima, how are the hunting dogs that have been added to the squad performing?
208;1;3;Meowy's Whereabouts;Makima;Devil;Female;There's one that seems promising, and another that seems interesting.
209;1;3;Meowy's Whereabouts;Public Safety Executive 2;Human;Male;Interesting...?
210;1;3;Meowy's Whereabouts;Makima;Devil;Female;A pup that I just recently picked up.
211;1;3;Meowy's Whereabouts;Public Safety Executive 2;Human;Male;Your job is to raise these hounds, and then put them to work. Make sure not to grow attached.
212;1;3;Meowy's Whereabouts;Aki;Human;Male;As far as I can tell, Denji's disgusting, not "interesting." Why do you have such high hopes for him?
